Date,i,pi,UNRATE,YLVL,SPREAD,r_real,y_log,x_gap_proxy,x_gap_est,rn_est
2009-10-01,0.11,-0.22421947830295608,8.7,16502.754,3.3600000000000003,0.33421947830295606,9.711282555051808,,-2.33430009361102,-1.275891683180108
2009-11-01,0.13,1.896489585471972,9.9,16502.754,3.15,-1.7664895854719722,9.711282555051808,,-2.8743912511568936,-1.3867556006875925
2009-12-01,0.05,2.7752542063598895,9.9,16502.754,3.79,-2.7252542063598897,9.711282555051808,,-2.8645616811242025,-1.4834769376955557
2010-01-01,0.12,2.5873489607178612,9.9,16582.71,3.55,-2.467348960717861,9.716115865272487,,-2.84537765161463,-1.5578473678496412
2010-02-01,0.13,2.1285217498988374,9.9,16582.71,3.48,-1.9985217498988375,9.716115865272487,,-2.8501868982065472,-1.6140225220093474
2010-03-01,0.09,2.260430128615809,9.9,16582.71,3.6799999999999997,-2.170430128615809,9.716115865272487,,-2.8607085322794634,-1.6582902373624848
2010-04-01,0.2,2.1827739611836705,9.9,16743.162,3.53,-1.9827739611836706,9.725745215095095,,-2.854629071283834,-1.6899995354075872
2010-05-01,0.19,1.983742011461409,9.9,16743.162,3.15,-1.793742011461409,9.725745215095095,,-2.8601964882055277,-1.711735355883368
2010-06-01,0.09,1.1153177381444834,9.9,16743.162,2.79,-1.0253177381444833,9.725745215095095,,-2.8639184462284306,-1.7260725940668722
2010-07-01,0.18,1.3318695897958754,9.9,16872.266,2.79,-1.1518695897958755,9.733426487800099,,-2.8665153687999916,-1.7418598194488584
2010-08-01,0.21,1.1436132834318435,9.5,16872.266,2.33,-0.9336132834318436,9.733426487800099,,-2.681646651700121,-1.76218454692264
2010-09-01,0.15,1.1121053678139425,9.5,16872.266,2.3699999999999997,-0.9621053678139425,9.733426487800099,,-2.6813573389374667,-1.7874650201139621
2010-10-01,0.2,1.1599417381349397,9.5,16960.864,2.51,-0.9599417381349398,9.73866385144455,,-2.678461336718386,-1.8180069467019753
2010-11-01,0.2,1.0787057695652358,9.5,16960.864,2.64,-0.8787057695652358,9.73866385144455,,-2.6796003066797147,-1.8544491526896731
2010-12-01,0.13,1.4275547979703873,9.5,16960.864,3.1799999999999997,-1.2975547979703874,9.73866385144455,,-2.684324350026948,-1.8984142942748807
2011-01-01,0.17,1.6864820984663353,9.5,16920.632,3.27,-1.5164820984663354,9.7362889847085,,-2.676047088767675,-1.9464724228942702
2011-02-01,0.16,2.1026370112833703,9.5,16920.632,3.27,-1.9426370112833704,9.7362889847085,0.016694088851458844,-2.675046236820081,-1.997170849071474
2011-03-01,0.1,2.5855268252593433,9.5,16920.632,3.3800000000000003,-2.485526825259343,9.7362889847085,0.016420415263729282,-2.671192369173641,-2.0469734467230816
2011-04-01,0.09,3.0308370223773196,9.5,17035.114,3.28,-2.9408370223773197,9.743032022177166,0.022789848656065814,-2.65506468894046,-2.0912618391892925
2011-05-01,0.1,3.4004941179468062,9.0,17035.114,2.9899999999999998,-3.300494117946806,9.743032022177166,0.022428105026603973,-2.4186723181639302,-2.1309993388377473
2011-06-01,0.07,3.442382405719613,9.0,17035.114,3.1500000000000004,-3.372382405719613,9.743032022177166,0.022077665885563036,-2.406357823676272,-2.160194568421456
2011-07-01,0.11,3.517292591450172,9.0,17031.313,2.7199999999999998,-3.407292591450172,9.742808869921381,0.021518290343166768,-2.403710488767843,-2.1785921884718213
2011-08-01,0.08,3.6862126476173707,9.0,17031.313,2.21,-3.6062126476173706,9.742808869921381,0.02119225564099736,-2.4056773436945895,-2.1861341383513615
2011-09-01,0.06,3.7417373621400074,9.0,17031.313,1.9,-3.6817373621400074,9.742808869921381,0.020875953317997187,-2.402774457899493,-2.1808685274055666
2011-10-01,0.09,3.4616554596579974,9.0,17222.583,2.16,-3.3716554596579975,9.753976766732846,0.03157261703932335,-2.399461209280121,-2.1618741011663305
2011-11-01,0.1,3.3932062617840764,9.0,17222.583,2.0700000000000003,-3.2932062617840763,9.753976766732846,0.031115042879333643,-2.4042925209088906,-2.132022576615906
2011-12-01,0.04,3.01612114209604,9.0,17222.583,1.8699999999999999,-2.97612114209604,9.753976766732846,0.030670542266770795,-2.3953771017406176,-2.091784782210561
2012-01-01,0.11,2.9643908697416066,8.3,17367.01,1.77,-2.8543908697416067,9.762327708551636,0.03847188571815785,-2.0752722170133486,-2.050784282365073
