,x,pi,i,u,rn
2025-10-01,-0.03274082737138706,2.2861888385708795,4.33,4.1,0.49799744753399383
2025-11-01,-0.7925513533703956,1.0242117162798805,3.9302760842043507,5.685102706740791,0.49819770278059444
2025-12-01,-1.6794641445941751,0.260186236450814,1.9444133145920297,7.45892828918835,0.498377932502535
2026-01-01,-1.6006030595758451,-0.10999734071096975,0.28850085574481654,7.30120611915169,0.49854013925228147
2026-02-01,-0.9103408643472595,-0.19154980000757377,-0.8282628806363977,5.920681728694518,0.4986861253270533
2026-03-01,0.02149508436958303,-0.09255063734834942,-1.395972731801303,4.057009831260833,0.498817512794348
2026-04-01,0.9140168542454007,0.09082720946263538,-1.5219579770271254,2.271966291509198,0.4989357615149132
2026-05-01,1.6042705865495774,0.28605419271375426,-1.3601893514012353,0.8914588269008448,0.4990421853634219
2026-06-01,2.035205216668952,0.4483078788572199,-1.0606208543376068,0.029589566662095557,0.49913796682707967
2026-07-01,2.2251564800123242,0.5579274114304587,-0.7402155674616321,-0.35031296002464885,0.4992241701443717
2026-08-01,2.2337774625256257,0.6140303250940732,-0.4725615340237438,-0.36755492505125176,0.4993017531299345
2026-09-01,2.1332132836392512,0.6269971550929243,-0.29056321495103976,-0.1664265672785028,0.4993715778169411
2026-10-01,1.9883939441140033,0.6117576691635627,-0.19631690697595533,0.1232121117719931,0.49943442003524696
2026-11-01,1.8467908645557842,0.582897464265149,-0.17323010700093935,0.4064182708884312,0.49949097803172227
2026-12-01,1.7358837933823756,0.5518313011399308,-0.19700503003835318,0.6282324132352484,0.49954188022855006
2027-01-01,1.6657193817328424,0.5257735578298918,-0.24371544539450213,0.7685612365343149,0.49958769220569504
2027-02-01,1.63396997675475,0.5079822754281584,-0.2945186086918202,0.8320600464904997,0.4996289229851255
2027-03-01,1.6314468896054022,0.4987081711548895,-0.3374148642772967,0.8371062207891953,0.49966603068661297
2027-04-01,1.646762666822641,0.4963684856008409,-0.36689964077008097,0.8064746663547178,0.49969942761795166
2027-05-01,1.6695413770880214,0.4986154493636237,-0.3824369549531357,0.7609172458239568,0.4997294848561565
2027-06-01,1.692115770839271,0.5031250903077025,-0.3865446851105275,0.7157684583214579,0.49975653637054085
2027-07-01,1.7099826183979479,0.5080599379135434,-0.3830389333825194,0.6800347632041039,0.49978088273348675
2027-08-01,1.7214294480535435,0.5122443861648032,-0.37572954653612967,0.6571411038929127,0.4998027944601381
2027-09-01,1.7267460324126616,0.5151340979443009,-0.367648204255166,0.6465079351746765,0.4998225150141243
2027-10-01,1.7273500280543925,0.5166695531803094,-0.3607490738852252,0.6452999438912146,0.4998402635127118
2027-11-01,1.7250394621217588,0.5170906959084185,-0.35595041047007997,0.649921075756482,0.4998562371614406
2027-12-01,1.7214723490430246,0.516766200310663,-0.353369784739605,0.6570553019139505,0.49987061344529654
2028-01-01,1.7178867086735972,0.5160661064563711,-0.35262626317440554,0.6642265826528053,0.4998835521007669
2028-02-01,1.71501998606993,0.515286051138675,-0.3531208479575882,0.6699600278601396,0.49989519689069023
2028-03-01,1.7131630396354347,0.5146174815146527,-0.35424702648900697,0.6736739207291302,0.4999056772016212
2028-04-01,1.7122829163839013,0.5141511782149115,-0.355517097423536,0.6754341672321971,0.49991510948145906
2028-05-01,1.712161442390294,0.5138998054659998,-0.3566128977384313,0.6756771152194117,0.49992359853331314
2028-06-01,1.7125150163030485,0.5138271551784572,-0.3573814095876018,0.6749699673939027,0.49993123867998185
2028-07-01,1.7130789115048497,0.513875414314956,-0.35779858924937685,0.6738421769903002,0.49993811481198364
2028-08-01,1.713653406091068,0.5139857180711382,-0.35792171300754994,0.6726931878178637,0.49994430333078527
2028-09-01,1.7141179108593776,0.5141105456644757,-0.3578446032280216,0.6717641782812445,0.4999498729977067
